"","Variables","Accuracy","Kappa","AccuracySD","KappaSD"
"1",2,0.622222222222222,0.15,0.327340769788569,0.66248689714506
"2",3,0.694444444444444,0.288888888888889,0.339267108834107,0.695221787153807
"3",4,0.716666666666667,0.359259259259259,0.313031157789646,0.627730502720382
"4",5,0.722222222222222,0.355555555555556,0.294695548245661,0.59571116732171
"5",6,0.744444444444444,0.403703703703704,0.314811058500616,0.650728279274302
"6",7,0.75,0.42962962962963,0.335481583280374,0.674146077992696
"7",8,0.761111111111111,0.474074074074074,0.314658890091581,0.627934705444757
"8",9,0.8,0.533333333333333,0.304500092797047,0.63488339329118
"9",10,0.75,0.403703703703704,0.282808845179703,0.588663075556992
