"","Variables","Accuracy","Kappa","AccuracySD","KappaSD"
"1",2,0.611111111111111,0.103703703703704,0.36706700541226,0.721367015027975
"2",3,0.655555555555556,0.188888888888889,0.312367468703881,0.617895518510105
"3",4,0.672222222222222,0.22962962962963,0.340394557332455,0.680957930935314
"4",5,0.716666666666667,0.325925925925926,0.325040522083276,0.663668471795851
"5",6,0.761111111111111,0.422222222222222,0.302237293967213,0.630831766756176
"6",7,0.772222222222222,0.444444444444444,0.304762118568617,0.640512615220349
"7",8,0.733333333333333,0.37037037037037,0.335053035202589,0.687702314184323
"8",9,0.766666666666667,0.444444444444444,0.308251775482515,0.640512615220349
"9",10,0.744444444444444,0.403703703703704,0.314811058500616,0.650728279274302
