"","Variables","Accuracy","Kappa","AccuracySD","KappaSD"
"1",2,0.538888888888889,0.0178571428571428,0.326608408285377,0.639475231286225
"2",3,0.616666666666667,0.175,0.319092343016324,0.633990886720341
"3",4,0.694444444444444,0.311111111111111,0.306642094634426,0.615400640816979
"4",5,0.633333333333333,0.181481481481481,0.325776408291383,0.645121954503438
"5",6,0.633333333333333,0.181481481481481,0.298142396999972,0.582459663203607
"6",7,0.65,0.240740740740741,0.316681790322461,0.602724110415664
"7",8,0.688888888888889,0.32962962962963,0.308665814319884,0.597311164118524
"8",9,0.711111111111111,0.381481481481481,0.306173182822972,0.602582287414269
"9",10,0.705555555555555,0.362962962962963,0.295830972415165,0.573885641347411
